v8-version,5,8,283,41,0
shared-library,"/usr/bin/nodejs",0x00400000,0x01f86000,0
shared-library,"/lib/x86_64-linux-gnu/libc-2.23.so",0x7fd9f8b52000,0x7fd9f8d12000,0
shared-library,"/lib/x86_64-linux-gnu/libpthread-2.23.so",0x7fd9f8f1c000,0x7fd9f8f34000,0
shared-library,"/lib/x86_64-linux-gnu/libgcc_s.so.1",0x7fd9f9139000,0x7fd9f914f000,0
shared-library,"/lib/x86_64-linux-gnu/libm-2.23.so",0x7fd9f934f000,0x7fd9f9457000,0
shared-library,"/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.21",0x7fd9f9658000,0x7fd9f97ca000,0
shared-library,"/lib/x86_64-linux-gnu/librt-2.23.so",0x7fd9f99da000,0x7fd9f99e1000,0
shared-library,"/lib/x86_64-linux-gnu/libdl-2.23.so",0x7fd9f9be2000,0x7fd9f9be5000,0
shared-library,"/lib/x86_64-linux-gnu/ld-2.23.so",0x7fd9f9de6000,0x7fd9f9e0c000,0
shared-library,"[vdso]",0x7fff9f706000,0x7fff9f708000,0
shared-library,"[vsyscall]",0xffffffffff600000,0xffffffffff601000,0
profiler,"begin",1
tick,0x7fd9f8f2b827,1176,0,(nil),4
tick,0xe71f3a,2218,0,(nil),4
code-creation,Stub,3,0x3c75da704000,382,"CEntryStub"
code-creation,Builtin,5,0x3c75da704180,118,"Abort"
code-creation,Builtin,5,0x3c75da704200,194,"MakeQuadragenarianCodeYoungAgain"
code-creation,Builtin,5,0x3c75da7042e0,194,"MakeQuinquagenarianCodeYoungAgain"
code-creation,Builtin,5,0x3c75da7043c0,194,"MakeSexagenarianCodeYoungAgain"
code-creation,Builtin,5,0x3c75da7044a0,194,"MakeSeptuagenarianCodeYoungAgain"
code-creation,Builtin,5,0x3c75da704580,194,"MakeOctogenarianCodeYoungAgain"
code-creation,Stub,3,0x3c75da704660,168,"StoreBufferOverflowStub"
code-creation,Stub,3,0x3c75da704720,1358,"RecordWriteStub"
code-creation,Stub,3,0x3c75da704c80,1386,"RecordWriteStub"
code-creation,Builtin,5,0x3c75da705200,644,"CompileLazy"
tick,0xce289a,3327,0,(nil),4
code-creation,Stub,3,0x3c75da7054a0,372,"StoreBufferOverflowStub"
code-creation,Stub,3,0x3c75da705620,2186,"RecordWriteStub"
code-creation,Builtin,5,0x3c75da705ec0,467,"ToObject"
tick,0xce123e,4613,0,(nil),4
code-creation,Builtin,5,0x3c75da7060a0,674,"FastNewObject"
tick,0xbf4ec7,5510,0,(nil),4
tick,0xc8a220,6595,0,(nil),4
code-creation,Builtin,5,0x3c75da706360,1843,"HasProperty"
code-creation,Builtin,5,0x3c75da706aa0,324,"ArgumentsAdaptorTrampoline"
code-creation,Builtin,5,0x3c75da706c00,280,"CallFunction_ReceiverIsNullOrUndefined"
code-creation,Builtin,5,0x3c75da706d20,347,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,0x3c75da706e80,372,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,0x3c75da707000,388,"TailCallFunction_ReceiverIsNullOrUndefined"
code-creation,Builtin,5,0x3c75da7071a0,455,"TailCallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,0x3c75da707380,480,"TailCallFunction_ReceiverIsAny"
code-creation,Builtin,5,0x3c75da707560,240,"CallBoundFunction"
code-creation,Builtin,5,0x3c75da707660,348,"TailCallBoundFunction"
code-creation,Builtin,5,0x3c75da7077c0,232,"Call_ReceiverIsNullOrUndefined"
tick,0xfe03c1,7709,0,(nil),4
code-creation,Builtin,5,0x3c75da7078c0,232,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,0x3c75da7079c0,232,"Call_ReceiverIsAny"
code-creation,Builtin,5,0x3c75da707ac0,340,"TailCall_ReceiverIsNullOrUndefined"
code-creation,Builtin,5,0x3c75da707c20,340,"TailCall_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,0x3c75da707d80,340,"TailCall_ReceiverIsAny"
code-creation,Builtin,5,0x3c75da707ee0,424,"CallWithSpread"
code-creation,Builtin,5,0x3c75da7080a0,194,"CallForwardVarargs"
code-creation,Builtin,5,0x3c75da708180,194,"CallFunctionForwardVarargs"
code-creation,Builtin,5,0x3c75da708260,114,"ConstructFunction"
code-creation,Builtin,5,0x3c75da7082e0,240,"ConstructBoundFunction"
code-creation,Builtin,5,0x3c75da7083e0,136,"ConstructedNonConstructable"
code-creation,Builtin,5,0x3c75da708480,118,"ConstructProxy"
code-creation,Builtin,5,0x3c75da708500,168,"Construct"
code-creation,Builtin,5,0x3c75da7085c0,420,"ConstructWithSpread"
code-creation,Builtin,5,0x3c75da708780,241,"JSConstructStubApi"
code-creation,Builtin,5,0x3c75da708880,290,"JSConstructStubGeneric"
code-creation,Builtin,5,0x3c75da7089c0,241,"JSBuiltinsConstructStub"
code-creation,Builtin,5,0x3c75da708ac0,285,"JSBuiltinsConstructStubForDerived"
code-creation,Builtin,5,0x3c75da708be0,507,"FastNewClosure"
tick,0x7fd9f96fcd9d,8785,0,(nil),4
code-creation,Builtin,5,0x3c75da708de0,335,"FastNewFunctionContextEval"
code-creation,Builtin,5,0x3c75da708f40,335,"FastNewFunctionContextFunction"
tick,0xc8a241,9864,0,(nil),4
code-creation,Stub,3,0x3c75da7090a0,2190,"RecordWriteStub"
code-creation,Stub,3,0x3c75da709940,2216,"RecordWriteStub"
code-creation,Builtin,5,0x3c75da70a200,741,"FastNewStrictArguments"
tick,0xce1ca9,10935,0,(nil),4
code-creation,Stub,3,0x3c75da70a500,2186,"RecordWriteStub"
code-creation,Stub,3,0x3c75da70ada0,2219,"RecordWriteStub"
code-creation,Stub,3,0x3c75da70b660,2227,"RecordWriteStub"
code-creation,Builtin,5,0x3c75da70bf20,1336,"FastNewSloppyArguments"
tick,0x7fd9f8ba0cb7,11987,0,(nil),4
code-creation,Stub,3,0x3c75da70c460,2189,"RecordWriteStub"
code-creation,Builtin,5,0x3c75da70cd00,777,"FastNewRestParameter"
tick,0xce11c4,13053,0,(nil),4
code-creation,Builtin,5,0x3c75da70d020,354,"FastCloneRegExp"
tick,0xce9efe,14126,0,(nil),4
code-creation,Stub,3,0x3c75da70d1a0,2190,"RecordWriteStub"
code-creation,Stub,3,0x3c75da70da40,950,"RecordWriteStub"
code-creation,Builtin,5,0x3c75da70de00,1248,"FastCloneShallowArrayTrack"
tick,0x126831c,15228,0,(nil),4
code-creation,Stub,3,0x3c75da70e2e0,2232,"RecordWriteStub"
code-creation,Stub,3,0x3c75da70eba0,948,"RecordWriteStub"
code-creation,Builtin,5,0x3c75da70ef60,1124,"FastCloneShallowArrayDontTrack"
tick,0xce3e47,16330,0,(nil),4
